,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.04432037,-0.16716444,-0.30971572,0.07642217,-0.10831322,0.17368008,-0.10410418,-0.02765569,0.0045379475,0.08044105,0.10861832,0.081625186,0.013836056,-0.10409464,-0.1251125,-0.05828381,0.097987734,0.031253524,-0.12000654,0.0079538,-0.049815618,0.11316556,0.0089578945,-0.094689414,0.06328726,0.16002822,0.09763658,-0.07622867,0.14163554,0.08517844,-0.01966758,0.033154145,0.047683373,0.036032267,0.15578386,0.0077992417,0.023741629,-0.2118111,0.16235515,-0.05853362,0.020617481,0.10745188,0.09844625,-0.12058062,-0.00016469508,0.11512405,0.025068227,0.0026092194,-0.07699907,-0.0072445907,-0.117546104,-0.19004619,0.10126583,0.060441993,0.15240894,-0.088219345,-0.21712774,-0.090921864,-0.034013066,0.076759316,-0.08131032,-0.013500527,-0.18338667,0.105425164
1,0.023584068,-0.050265074,0.082751,-0.14795026,0.06611486,-0.1293626,0.0632365,0.17056276,0.041012213,0.020565316,-0.014713924,-0.11909711,0.10669166,0.15722686,-0.10801554,-0.20339376,0.05736556,-0.019578107,0.09928465,-0.010876477,0.018360812,0.12976013,0.109031044,0.07425046,0.058011122,0.1843406,-0.0007476602,0.017416462,-0.054117776,-0.06844275,0.05387977,-0.06748741,-0.05547625,-0.055658393,-0.17083982,0.044432502,0.023395414,0.17586988,-0.11494354,0.15268213,0.0032515563,0.14042345,-0.029231014,0.0025713965,-0.0622271,-0.19965114,-0.028783565,-0.062363256,-0.08244774,-0.019263502,0.008006014,-0.030215975,-0.16193542,-0.11095485,-0.09929697,0.088207364,0.08106374,-0.017496862,0.0179642,0.016697574,-0.16020218,-0.12093986,0.049232386,0.09781614
2,-0.028681215,-0.00973729,-0.20432249,0.32119536,-0.13856505,0.28702372,-0.16415726,-0.26695198,-0.0028456934,0.076201946,0.12940294,0.28391445,-0.16285507,-0.3166756,0.14602253,0.32576898,-0.08014678,0.046542548,-0.21364048,-0.082629085,2.7678907e-05,-0.16163214,-0.14677405,-0.05869925,-0.050102353,-0.30717382,0.05757965,0.05761139,0.07856914,0.114915736,-0.11645824,0.21087489,0.008961558,0.054870218,0.1426639,-0.024113424,0.089592464,-0.45226216,0.28062662,-0.24431154,0.0061904043,-0.19905186,0.052302193,0.025377251,0.023913383,0.27636588,0.033894356,0.049227595,-0.0018381551,-0.017085295,-0.15014611,-0.049622674,0.3798457,0.059406146,0.26680502,-0.23286612,-0.11643975,0.1238572,-0.130607,-0.013469428,0.2158316,0.21660204,-0.06182293,-0.08652444
3,0.04401693,0.17510131,0.20406418,0.13638572,-0.04513777,-0.025790725,0.011898536,-0.21711488,-0.051165875,-0.14228848,-0.057323385,0.19121204,-0.15310061,-0.2649224,0.27354714,0.38616857,-0.10506264,0.009372652,0.06938765,0.041471478,-0.06519214,-0.29294285,-0.28898072,0.084493,-0.16101195,-0.35629058,-0.11005737,0.106493756,-0.14528292,0.00055171177,0.05238154,0.29047418,-0.0131715685,0.02651707,0.07699229,-0.11738998,-0.036302716,-0.18136695,0.21341994,-0.254458,-0.18583088,-0.23898852,-0.23423123,0.03937371,0.06300927,0.16362125,0.023988027,0.004810188,0.08888081,-0.034373038,0.031616725,0.17185241,0.14686,-0.035077807,0.0726907,-0.03203506,0.09484089,0.24986307,-0.11055406,-0.22026366,0.46474767,0.34226,0.23660532,-0.18680169
4,-0.05902946,0.20378448,0.2249013,0.036523014,0.14869042,-0.051495563,0.098573074,-0.14458567,-0.08864793,-0.21433164,-0.10353902,0.10163734,-0.20504202,-0.15090546,0.27864283,0.3712246,-0.10516295,-0.0261688,0.07437321,-0.039314747,-0.039802417,-0.33621845,-0.1239861,0.07535569,-0.14773048,-0.31351328,-0.16600375,-0.02799742,-0.09535251,-0.05792501,0.016479287,0.12846416,0.0016700998,0.09822363,0.010657333,-0.09891331,-0.05722027,-0.08450677,0.13588208,-0.14867854,-0.19307931,-0.3213184,-0.23047464,0.10119636,0.0902135,0.09595172,0.13756453,0.07737706,0.15216662,0.069318935,0.07157584,0.1333735,0.06307574,-0.02557065,0.005811669,0.02610768,0.09285007,0.13582274,0.06117214,-0.11834218,0.38470006,0.35069728,0.13472962,-0.31653976
5,-0.0024669953,0.19946355,0.23969743,0.0632038,0.11067338,-0.08266315,0.10125036,-0.14630952,-0.06545815,-0.18322833,-0.085854486,0.13428417,-0.18019998,-0.22420472,0.26605335,0.3949381,-0.08533401,0.025230967,0.07533626,-0.0013146177,-0.0569157,-0.34085542,-0.15269735,0.06588961,-0.19699582,-0.34071136,-0.12148386,-0.0029834658,-0.114052854,-0.04287225,0.02934222,0.17255399,-0.051979754,0.08443154,0.0074220374,-0.09408091,-0.0024450861,-0.13683113,0.1930123,-0.18486667,-0.18043572,-0.2936752,-0.25287983,0.101624876,0.055816837,0.09875609,0.13020237,0.080436274,0.1180654,0.013473308,0.03501936,0.13040528,0.098744825,-0.042970005,0.029259168,0.011982216,0.09815502,0.1859329,-0.016062474,-0.15697393,0.41748068,0.38309088,0.18529257,-0.26633012
6,0.0073434887,0.18576194,0.21171059,0.1204512,-0.019993247,-0.017982747,-0.003970232,-0.22790386,-0.089652196,-0.16518609,-0.09079252,0.173924,-0.18286116,-0.27255198,0.26927865,0.4404329,-0.08165734,-0.050204836,0.09211142,0.040776003,-0.021299116,-0.27372932,-0.26863363,0.052096624,-0.15068242,-0.39446118,-0.16562276,0.11035283,-0.12965277,-0.001167316,0.0393958,0.28722546,0.04627551,0.048053842,0.08780661,-0.10847446,-0.047011916,-0.175823,0.22167566,-0.2642248,-0.17517069,-0.2722788,-0.23839138,0.09008129,0.07430739,0.18325469,0.059031587,-0.010479253,0.11585209,0.003593212,0.024113111,0.17090876,0.159248,-0.020683896,0.09754752,0.0044914624,0.07222407,0.23337278,-0.088230066,-0.19998467,0.4794944,0.34846503,0.22732568,-0.23935965
7,0.007017973,0.058630213,0.28229868,-0.16612543,0.10588823,-0.25479767,0.15217824,0.11935493,0.03122197,-0.07453784,-0.17432119,-0.117966875,0.08194509,0.18482542,-0.006309269,-0.1219807,-0.040688206,0.032322787,0.11945669,0.038191304,-0.03159888,-0.042123064,-0.033295862,0.047954258,-0.06518543,0.069829404,-0.08048092,0.03986984,-0.1311447,-0.09476025,0.099113084,-0.053323515,-0.08227024,-0.07411874,-0.15784353,-0.0728582,-0.0772284,0.28408712,-0.18285103,0.12097288,0.036461275,-0.035165846,-0.09099655,0.028972276,0.008992411,-0.16475995,-0.017389804,0.0033778064,0.04916984,-0.03928401,0.13165209,0.07007128,-0.19694948,0.003594406,-0.22954807,0.116482966,0.13534044,0.01536227,0.057586968,-0.06402599,-0.009324104,-0.07959736,0.122593306,0.049591813
8,0.1054254,-0.23316628,-0.18147033,-0.017948456,-0.076276496,0.047438286,0.048217647,0.19065039,0.119768016,0.19728088,0.077767484,-0.06396712,0.16163273,0.035751067,-0.18125075,-0.19787186,0.20513666,0.08495856,-0.070375025,0.0005059093,-0.08408628,0.19404508,0.13163176,-0.01074153,0.0431746,0.29158863,0.16956617,-0.003436409,0.12971142,-0.020103874,-0.0029504094,-0.11769571,-0.10210915,-0.07858473,-0.0215595,0.06557903,0.055142514,-0.062509365,-0.05444671,0.09272625,0.16943833,0.2596121,0.19708681,-0.1001778,-0.091579095,-0.059026428,-0.02299784,-0.07135424,-0.20276557,-0.09411477,-0.1060855,-0.21843663,-0.038008027,-0.055346135,0.05920624,-0.08553931,-0.14309138,-0.10135561,-0.07933108,0.060736,-0.23289299,-0.18217847,-0.13286158,0.2921067
9,0.061438322,-0.18896964,-0.0822256,-0.036942046,-0.054284975,-4.9393624e-05,0.026346665,0.15590033,0.14194095,0.17143741,0.041659735,-0.07175043,0.17051132,0.08521609,-0.13988571,-0.22585788,0.11845315,0.07178273,-0.040349044,-0.03835614,-0.02332449,0.19820234,0.10859551,0.021228552,0.060056873,0.2181297,0.09928882,0.058122575,0.059917316,-0.041271843,0.035201028,-0.053200513,-0.08816446,-0.056582205,-0.08185428,0.050621998,0.05912334,-0.011728615,-0.068199225,0.12829682,0.1404142,0.22273186,0.1500798,-0.089564115,-0.090679534,-0.093850434,-0.015541983,-0.08162242,-0.20663925,-0.09505949,-0.10533338,-0.20522311,-0.06254985,-0.1026762,-0.00741113,-0.06131735,-0.056579545,-0.07766597,-0.05797178,0.06485828,-0.2340447,-0.17912161,-0.08028971,0.28006703
